phrase,n,freq_books,rank,mi,lemma_key,spoken_words,auto_keep,auto_reason,keep,notes
de toutes ses forces,4,190487,8300,19.56,de tout son forcer,yes,no,fragment,,
à l' aide d' un,5,189515,8301,19.21,à le aide de un,yes,no,fragment,,
l ' ensemble des,4,189511,8302,,l ' ensemble un,no,no,fragment; rare word,,
qui que ce soit,4,189310,8303,14.29,qui que ce être,yes,yes,,,
quelques minutes plus tard,4,189053,8304,25.41,quelque minuter plus tard,yes,yes,,,
à la fin des années,5,188947,8305,22.34,à le fin un année,yes,yes,,,
on l' a vu,4,188753,8306,15.93,on le avoir voir,yes,yes,,,
le fait que les,4,188418,8307,9.79,le faire que le,yes,no,fragment,,
ce que vous voulez,4,188325,8308,18.4,ce que vous vouloir,yes,yes,,,
de la maison de,4,187920,8309,8,de le maison de,yes,no,fragment,,
en est de même,4,187912,8310,8.65,en être de même,yes,yes,,,
d ' autre part,4,187678,8311,,d ' autre part,no,no,rare word,,
l' un de ces,4,187513,8312,8.37,le un de ce,yes,no,fragment,,
ne crois pas que,4,187138,8313,16.19,ne croire pas que,yes,no,fragment,,
de l ' article,4,187125,8314,,de l ' article,no,no,fragment; rare word,,
sur le plan de,4,186911,8315,12.46,sur le plan de,yes,no,fragment,,
à partir d' une,4,186511,8316,12.85,à partir de un,yes,no,fragment,,
faire l' objet d',4,186346,8317,16.38,faire le objet de,yes,no,fragment,,
au même titre que,4,185982,8318,17.94,au même titre que,yes,no,fragment,,
et à mesure que,4,185823,8319,12.6,et à mesure que,yes,no,fragment,,
à l' entrée de,4,185772,8320,11.08,à le entrée de,yes,no,fragment,,
que je viens de,4,185740,8321,14.46,que je venir de,yes,no,fragment,,
mardi au samedi de,4,185592,8322,22.96,mardi au samedi de,yes,no,fragment,,
et de l' autre,4,185537,8323,8.04,et de le autre,yes,no,fragment,,
du mardi au samedi de,5,185319,8324,29.69,du mardi au samedi de,yes,no,fragment,,
dans le cas où,4,185180,8325,15.27,dans le cas où,yes,yes,,,
il y a toujours,4,185139,8326,15.66,il y avoir toujours,yes,yes,,,
